url,clicks
https://en.wikipedia.org/wiki/Syllepis_semifuneralis,9
https://en.wikipedia.org/wiki/KFMC-FM,15
https://en.wikipedia.org/wiki/Room_air_distribution,10
https://en.wikipedia.org/wiki/Juana_Rosa_Aguirre,18
https://en.wikipedia.org/wiki/Yowalga_Land_District,11
https://en.wikipedia.org/wiki/Marovoay_District,20
https://en.wikipedia.org/wiki/Ed_Palubinskas,8
https://en.wikipedia.org/wiki/Endoplasmic_reticulum,9
https://en.wikipedia.org/wiki/La_figlia_del_mago,14
https://en.wikipedia.org/wiki/Constitution_of_Canada,8
https://en.wikipedia.org/wiki/Shri_Nehru_Maha_Vidyalaya_College_of_Arts_%26_Sciences,12
https://en.wikipedia.org/wiki/Bend-skin,10
https://en.wikipedia.org/wiki/Tangled_Lives,23
https://en.wikipedia.org/wiki/Navicore,10
https://en.wikipedia.org/wiki/Lavoslav_Schwarz,8
https://en.wikipedia.org/wiki/Cost-effective_minimum_water_network,15
https://en.wikipedia.org/wiki/Los_Palmitos,10
https://en.wikipedia.org/wiki/Are_katika,13
https://en.wikipedia.org/wiki/Bhat,8
https://en.wikipedia.org/wiki/Paul_Guth,18
https://en.wikipedia.org/wiki/Children_of_Mata_Hari,13
https://en.wikipedia.org/wiki/Jack_Metcalf_(footballer),14
https://en.wikipedia.org/wiki/Spesbona_angusta,9
https://en.wikipedia.org/wiki/Hand_Surgery_(journal),16
https://en.wikipedia.org/wiki/Fort_Kalamata,21
https://en.wikipedia.org/wiki/Imperial_Call_Chase,17
https://en.wikipedia.org/wiki/Wilbur_D._Nesbit,11
https://en.wikipedia.org/wiki/Vellefrie,17
https://en.wikipedia.org/wiki/Gael_Adam,8
"https://en.wikipedia.org/wiki/Kayac%C4%B1k,_Amasya",9
https://en.wikipedia.org/wiki/Hoplunnis_megista,15
https://en.wikipedia.org/wiki/Amanda_Ryan,17
https://en.wikipedia.org/wiki/Sandi_A._Hohn,9
https://en.wikipedia.org/wiki/Robert_Barbers,22
https://en.wikipedia.org/wiki/Herpetogramma_exculta,9
https://en.wikipedia.org/wiki/Ottavio_Jemma,18
https://en.wikipedia.org/wiki/Hamburg_derby,14
https://en.wikipedia.org/wiki/Soviet_Jewry_Movement,17
https://en.wikipedia.org/wiki/Kuo_Cheng-wei,8
https://en.wikipedia.org/wiki/Fmt,7
https://en.wikipedia.org/wiki/Casey_Pachall,14
https://en.wikipedia.org/wiki/Rudi_Kapeli,14
https://en.wikipedia.org/wiki/Daria_Vassilyanska,8
https://en.wikipedia.org/wiki/Glossary_of_manias,20
https://en.wikipedia.org/wiki/Jeanne_des_Anges,23
https://en.wikipedia.org/wiki/Aechmea_%27Caprice%27,8
https://en.wikipedia.org/wiki/Oskari_Tokoi,18
https://en.wikipedia.org/wiki/Tomohiro_Tsuboi,9
"https://en.wikipedia.org/wiki/Abdal,_Azerbaijan",17
https://en.wikipedia.org/wiki/2011%E2%80%9312_VfL_Bochum_season,16
https://en.wikipedia.org/wiki/McWhirter_House,11
https://en.wikipedia.org/wiki/Ildjarn,8
https://en.wikipedia.org/wiki/Outline_of_Mauritania,9
https://en.wikipedia.org/wiki/Destruction_discography,9
"https://en.wikipedia.org/wiki/Samba,_Iran",20
https://en.wikipedia.org/wiki/Sigmund_Hecht,8
"https://en.wikipedia.org/wiki/Touba,_Ivory_Coast",8
https://en.wikipedia.org/wiki/Fait-Florian_Banser,14
https://en.wikipedia.org/wiki/Wabag,9
https://en.wikipedia.org/wiki/Eucalyptus_tenera,9
https://en.wikipedia.org/wiki/Iota_Cygni,20
https://en.wikipedia.org/wiki/Consuelo_H._Wilkins,20
https://en.wikipedia.org/wiki/EB-5_visa,14
https://en.wikipedia.org/wiki/Saltire_Prize,21
